Material_ID,Category,Material,Specification / Grade,Quality_Tier,Unit,Hyderabad_Low_INR,Hyderabad_Base_INR,Hyderabad_High_INR,India_Typical_INR,Wastage_%,GST_%,Rate_Date,Rate_Basis,Vendor_Quote_Required,IS_Code / Standard,Notes,Source_URL
HYD26-0001,Cement & Binders,OPC Cement,"43 Grade, 50 kg",Standard,bag,370.0,383.0,395.0,386.87,0.02,0.28,2026-08-12,Direct Aug-2026 market reference,NO,IS 8112,,https://infralens.in/prices/cement/hyderabad
HYD26-0002,Cement & Binders,OPC Cement,"53 Grade, 50 kg",Standard,bag,395.0,408.0,420.0,412.12,0.02,0.28,2026-08-12,Direct Aug-2026 market reference,NO,IS 12269,,https://infralens.in/prices/cement/hyderabad
HYD26-0003,Cement & Binders,PPC Cement,"Fly ash, 50 kg",Standard,bag,355.0,368.0,380.0,371.72,0.02,0.28,2026-08-12,Direct Aug-2026 market reference,NO,IS 1489,,https://infralens.in/prices/cement/hyderabad
HYD26-0004,Cement & Binders,PSC Cement,"Slag, 50 kg",Standard,bag,385.0,407.0,428.0,411.11,0.02,0.28,2026-08-12,Direct Aug-2026 market reference,NO,IS 455,,https://infralens.in/prices/cement/hyderabad
HYD26-0005,Cement & Binders,White Cement,General purpose,Premium,kg,19.0,23.0,27.0,23.23,0.03,0.28,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/cement/hyderabad
HYD26-0006,Cement & Binders,Masonry Cement,General masonry,Economy,bag,268.0,335.0,402.0,338.38,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0007,Cement & Binders,Rapid Hardening Cement,50 kg,Premium,bag,384.0,480.0,576.0,484.85,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0008,Cement & Binders,Sulphate Resistant Cement,50 kg,Premium,bag,376.0,470.0,564.0,474.75,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0009,Cement & Binders,Low Heat Cement,50 kg,Premium,bag,364.0,455.0,546.0,459.6,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0010,Cement & Binders,Microfine Cement,Injection/grout,Premium,kg,30.4,38.0,45.6,38.38,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
